job,dataset,origin,method,selected_reference,horizon,n_matrices,dimension,fit_end,val_end,test_end,ar_model,selection_metric,domain_metric,domain_metric_label,window,step,months,physical_units,seasonal_period_windows,station_selection_block,standardization_block,evaluation_protocol,ridge,val_w2_mean,val_w2_median,val_log_score_mean,val_log_score_median,val_domain_loss_mean,val_domain_loss_median,test_w2_mean,test_w2_median,test_w2_q90,test_log_score_mean,test_log_score_median,test_log_score_q90,test_domain_loss_mean,test_domain_loss_median,test_domain_loss_q90,n_test_pairs,min_pred_eig,candidate,display_dataset,dataset_label,dimension_arg,h0,q_dimension
divvy_2024_w72_s24_d30,divvy,1,seasonal_window_naive,,3,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,,32.72960071590861,32.61252729705288,5917670.559581728,79.26270713291817,0.5193764408014999,0.5477929502122229,40.889385136476214,35.761556198723824,64.23862487792123,91.33153669287621,75.87553370645311,108.10405875770304,0.5786085763027402,0.5847418169397722,0.8194857016545893,43,0.014612182262076287,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,euclidean_gaussian_ar,,3,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,10.0,20.243579949871556,17.770785049214783,64808530.79202704,8344454.995158771,0.3921932790525037,0.3584224483427103,26.030845537720133,24.580822925076205,41.403349265512894,44488232.746718615,53.277325514757145,113721529.68233143,0.4802862391922577,0.42070503824472893,0.7344601321760011,43,9.999996965875935e-09,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,cholesky_gaussian_ar,,3,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,1.0,18.3147763510164,17.04659195295411,3029.906476607054,68.21926235487382,0.35180977708593425,0.3362254219907211,27.165352922394735,23.75194175795641,47.25710261016582,115.57138855315745,65.52364072481285,163.3050163283999,0.4668629937964275,0.4927877142469426,0.6642656083687682,43,0.0023164818890054474,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,log_euclidean_gaussian_ar,,3,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,1.0,25.45437114577585,20.61961981385293,99.70445362755069,58.0654024617119,0.3665944986055014,0.33430100960349857,26.697840671957263,24.890395906230026,48.91484679000405,67.80102950249228,64.47939972468907,91.26295518707735,0.4510329977788151,0.45605467405020533,0.6395493661124472,43,0.018526774966711474,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,persistence,,4,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,,33.90306522399341,31.753899346501175,10345.065883791052,76.62351631933936,0.5352247827541396,0.5553676470801143,41.97421799820191,36.7737090039273,64.9794408776883,92.37438499473203,76.51640113598198,116.22775393572205,0.5944786457311432,0.5980245695774685,0.8539384061685068,43,0.014622172262076101,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,raw_var_window_ar,,4,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,1e-06,115.8298741186932,116.77782011400826,2615988475.503119,2604242241.2631297,0.8650403151770427,0.8616904084206373,112.12077111829609,108.55860639190138,156.65417463807415,2936454682.6298594,2610809299.996814,4552898425.016215,0.6878267785502595,0.6529606734469272,0.9231232099357716,43,,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,seasonal_window_naive,,4,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,,33.90347357912376,31.755950835447106,10265631.298293574,76.62950767120347,0.5352247827541396,0.5553676470801143,41.97429149609189,36.7738306320048,64.9795166758261,92.38420536959676,76.52115342779031,116.23864943363414,0.5944786457311432,0.5980245695774685,0.8539384061685068,43,0.014612182262076287,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,euclidean_gaussian_ar,,4,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,10.0,19.823061307521765,16.874721410995914,47635817.81624348,57.64369103390683,0.4030771729741875,0.34517689176483246,26.377153588719175,23.39192480918879,43.23707866238496,37608553.759488985,52.22380102502027,140316601.9196395,0.4848060561984436,0.4617303809855247,0.6993687344876858,43,9.999998250990417e-09,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,cholesky_gaussian_ar,,4,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,10.0,17.881552878764744,15.056734204550537,78.80458066526691,53.980243803060915,0.3734563635412767,0.31122643136155886,21.3247138252382,16.918120896689363,38.92925304149687,53.23537331449047,53.07129353272747,63.326850511057636,0.4158183706731047,0.3797438448675714,0.6239661769233046,43,0.09619970961345506,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,log_euclidean_gaussian_ar,,4,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,1.0,27.142588075883598,23.582246343367665,122.37427235786564,57.57025444167544,0.3708666815327525,0.331631153960952,27.77479346272614,27.689713725752316,47.11520488541788,65.88097351997475,64.08812218423041,88.11486819202274,0.44880823427543215,0.43907200534012736,0.6597452803375621,43,0.03065780069245327,divvy,Divvy,bike-share station trip-count level,30,3,495
