origin,horizon,window_length,ridge,validation_raw_rmse,validation_w2,n_validation_targets,validation_target_start,validation_target_stop
3,3,24,10.0,0.376490099812532,15.82953555116524,54,256,310
3,3,48,1e-06,0.3916742964051936,18.154601486637834,54,256,310
3,3,48,0.0001,0.39166422150413804,18.15363291967882,54,256,310
3,3,48,0.001,0.3915729645274545,18.14486853404358,54,256,310
3,3,48,0.01,0.39069220470907784,18.061017667185727,54,256,310
3,3,48,0.1,0.38421167717711807,17.462418323407334,54,256,310
3,3,48,1.0,0.37165363030358456,16.081563868904784,54,256,310
3,3,48,10.0,0.39736929990798914,16.864172255323485,54,256,310
3,3,72,1e-06,0.3823781353062448,18.01431892763547,54,256,310
3,3,72,0.0001,0.38236743043707305,18.013089443321544,54,256,310
3,3,72,0.001,0.38227052081076135,18.001974468838768,54,256,310
3,3,72,0.01,0.3813400096867206,17.89650747950526,54,256,310
3,3,72,0.1,0.374701300081826,17.170666865994807,54,256,310
3,3,72,1.0,0.36177777428072816,15.502877429724627,54,256,310
3,3,72,10.0,0.3903832465354253,16.243051853424223,54,256,310
3,4,24,1e-06,0.3430591916604432,14.448842922778352,54,256,310
3,4,24,0.0001,0.34305665289261533,14.448443679232659,54,256,310
3,4,24,0.001,0.34303358392594285,14.444824287080591,54,256,310
3,4,24,0.01,0.3428041453376774,14.409578627397496,54,256,310
3,4,24,0.1,0.34074052378620984,14.124589470830333,54,256,310
3,4,24,1.0,0.33783427171325786,13.401579213295467,54,256,310
3,4,24,10.0,0.3801489485083788,15.528910523820473,54,256,310
3,4,48,1e-06,0.38085374123154947,16.984455970346094,54,256,310
3,4,48,0.0001,0.38084532980686336,16.983521913511975,54,256,310
3,4,48,0.001,0.3807690480051213,16.97506635889292,54,256,310
3,4,48,0.01,0.3800241567014729,16.89380586550589,54,256,310
3,4,48,0.1,0.37405127504429925,16.28558821803351,54,256,310
3,4,48,1.0,0.3626783889180529,14.810295476720322,54,256,310
3,4,48,10.0,0.40763280577959854,16.66604283165369,54,256,310
3,4,72,1e-06,0.386500171570331,17.740053271098024,54,256,310
3,4,72,0.0001,0.3864894274875051,17.73873688060507,54,256,310
3,4,72,0.001,0.38639199776381594,17.726827219704326,54,256,310
3,4,72,0.01,0.3854414161139313,17.61294737749246,54,256,310
3,4,72,0.1,0.3779483142638437,16.783632733776304,54,256,310
3,4,72,1.0,0.3632249064725582,14.840009100040792,54,256,310
3,4,72,10.0,0.41019021041136094,16.653327668285364,54,256,310
3,6,24,1e-06,0.34724202395944226,14.510365224773027,54,256,310
3,6,24,0.0001,0.3472419616104154,14.510077565688402,54,256,310
3,6,24,0.001,0.34724146924983257,14.507476492220238,54,256,310
3,6,24,0.01,0.3472433620813453,14.482737748126063,54,256,310
3,6,24,0.1,0.34766663146863225,14.310151566758933,54,256,310
3,6,24,1.0,0.35945314969776293,14.255196053218745,54,256,310
3,6,24,10.0,0.39521239159757243,15.934943032997767,54,256,310
3,6,48,1e-06,0.38379365107982116,16.787987656367775,54,256,310
3,6,48,0.0001,0.383789948747187,16.787224349378977,54,256,310
3,6,48,0.001,0.3837564751329978,16.7803251440838,54,256,310
3,6,48,0.01,0.383438704599724,16.714871313888576,54,256,310
3,6,48,0.1,0.3813747875019563,16.251701364911785,54,256,310
3,6,48,1.0,0.387274025138129,15.446750433789735,54,256,310
3,6,48,10.0,0.43311722953315573,17.438613962831536,54,256,310
3,6,72,1e-06,0.4076169834485424,18.666199952974456,54,256,310
3,6,72,0.0001,0.4076070303471914,18.66464442495806,54,256,310
3,6,72,0.001,0.40751702852447297,18.65060960692828,54,256,310
3,6,72,0.01,0.4066610387662712,18.519493514496137,54,256,310
3,6,72,0.1,0.40080564035712274,17.65298160866323,54,256,310
3,6,72,1.0,0.39733019849562656,15.984205939964887,54,256,310
3,6,72,10.0,0.44984789457565416,18.343931065077843,54,256,310
4,3,24,1e-06,0.26165746759113834,7.95655986481237,54,299,353
4,3,24,0.0001,0.26165266753973054,7.956250488043888,54,299,353
4,3,24,0.001,0.2616092427324161,7.953451795849428,54,299,353
4,3,24,0.01,0.26119496128177166,7.92675139528619,54,299,353
4,3,24,0.1,0.2583760461497086,7.740147369637968,54,299,353
4,3,24,1.0,0.25464679607275637,7.338437131354964,54,299,353
4,3,24,10.0,0.27246166538134076,7.92795519173929,54,299,353
4,3,48,1e-06,0.27547359026231516,8.53370628446308,54,299,353
4,3,48,0.0001,0.2754634913889774,8.533082971056384,54,299,353
4,3,48,0.001,0.2753723315157795,8.527454758333322,54,299,353
4,3,48,0.01,0.2745207124971149,8.474664406562699,54,299,353
4,3,48,0.1,0.2694692369653542,8.141522170094943,54,299,353
4,3,48,1.0,0.26244234064240046,7.508607076173666,54,299,353
4,3,48,10.0,0.283779976657275,8.336105626775568,54,299,353
4,3,72,1e-06,0.2892617823071967,9.268032552262696,54,299,353
4,3,72,0.0001,0.28924956296362814,9.267075976624952,54,299,353
4,3,72,0.001,0.2891393702724803,9.258455409212777,54,299,353
4,3,72,0.01,0.2881179920720648,9.178970704687448,54,299,353
4,3,72,0.1,0.282158057203327,8.71487607247838,54,299,353
4,3,72,1.0,0.2733095777264531,7.934210317355589,54,299,353
4,3,72,10.0,0.2909581660133445,8.603477466542733,54,299,353
4,4,24,1e-06,0.26673623619041076,7.9236767046900525,54,299,353
