origin,horizon,source_index,target_index,method,window_length,ridge,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
1,3,248,251,local_bwar,48.0,1.0,0.08503072920214831,8.002242298790293e-10,1.0,0.0
1,3,249,252,local_bwar,48.0,1.0,0.058525205359433945,7.736897326248355e-10,1.0,0.0
1,3,250,253,local_bwar,48.0,1.0,0.08679349308512067,7.271139755316979e-10,1.0,0.0
1,3,251,254,local_bwar,48.0,1.0,0.09439671102969419,6.482790327901598e-10,1.0,0.0
1,3,252,255,local_bwar,48.0,1.0,0.07227103009908392,7.946359774128635e-10,1.0,0.0
1,3,253,256,local_bwar,48.0,1.0,0.07489796427550892,9.950603123167677e-10,1.0,0.0
1,3,254,257,local_bwar,48.0,1.0,0.07176316395519639,4.618431963327881e-11,1.0,0.0
1,3,255,258,local_bwar,48.0,1.0,0.07782584816259774,4.3002850926373375e-11,1.0,0.0
1,3,256,259,local_bwar,48.0,1.0,0.08688843826369672,4.291580366357503e-11,1.0,0.0
1,3,257,260,local_bwar,48.0,1.0,0.1174230613444383,8.4597210257873e-10,1.0,0.0
1,3,258,261,local_bwar,48.0,1.0,0.09040551524454411,7.477844010771439e-10,1.0,0.0
1,3,259,262,local_bwar,48.0,1.0,0.07256267470300692,8.065619190903927e-10,1.0,0.0
1,3,260,263,local_bwar,48.0,1.0,0.09121168413726873,4.2167036792552787e-11,1.0,0.0
1,3,261,264,local_bwar,48.0,1.0,0.11838345309489821,4.499305731457915e-11,1.0,0.0
1,3,262,265,local_bwar,48.0,1.0,0.14008916634747542,9.386947017097751e-10,1.0,0.0
1,3,263,266,local_bwar,48.0,1.0,0.05927138140236911,8.21329134168534e-10,1.0,0.0
1,4,220,224,local_bwar,48.0,1.0,0.12865338274527965,1.1379257337328353e-10,1.0,0.0
1,4,221,225,local_bwar,48.0,1.0,0.10729367486868935,1.0961141561225875e-10,1.0,0.0
1,4,222,226,local_bwar,48.0,1.0,0.12388176126748306,1.0702956240852152e-10,1.0,0.0
1,4,223,227,local_bwar,48.0,1.0,0.09511183612222505,1.0344362860095621e-10,1.0,0.0
1,4,224,228,local_bwar,48.0,1.0,0.08947559594075585,1.0313769375047309e-10,1.0,0.0
1,4,225,229,local_bwar,48.0,1.0,0.12698003381535924,1.0286809378378291e-10,1.0,0.0
