origin,fit_end,val_end,test_end,horizon,source_index,target_index,method,window_length,ridge,raw_rmse,w2,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
1,170,224,267,3,263,266,local_bwar,48.0,0.1,0.5150929698528655,22.598570294262068,0.11459898268673473,8.21329134168534e-10,1.0,0.0
1,170,224,267,3,263,266,log_euclidean_gaussian_ar,224.0,0.1,0.5467758556182293,27.983112505267016,0.0948817664329645,,,
1,170,224,267,3,263,266,persistence,,,0.6726986075878166,50.759967528648374,0.03231715167812055,,,
1,170,224,267,3,263,266,raw_var_window_ar,72.0,1e-06,0.616133245502735,94.88684420011458,9.99999995248073e-09,,,
1,170,224,267,3,263,266,seasonal_window_naive,72.0,,0.6726986075878167,50.76006077962677,0.032307161678120914,,,
1,170,224,267,4,220,224,cholesky_gaussian_ar,224.0,0.1,0.2881204001932827,12.007398106717165,0.1513795638347433,,,
1,170,224,267,4,220,224,euclidean_gaussian_ar,224.0,0.1,0.3127344593243904,11.96399939310339,0.2105885872188556,,,
1,170,224,267,4,220,224,fixed_bwar,224.0,0.1,0.305326106764767,12.756569785243748,0.1319464729294289,,,
1,170,224,267,4,220,224,local_bwar,48.0,0.1,0.24961233778914363,10.172477901891853,0.12528988398687604,1.1379257337328353e-10,1.0,0.0
1,170,224,267,4,220,224,log_euclidean_gaussian_ar,224.0,0.1,0.2915082069583497,12.78108589623672,0.10554729239772416,,,
1,170,224,267,4,220,224,persistence,,,0.47063819392278,29.166000258195822,0.042736961091727366,,,
1,170,224,267,4,220,224,raw_var_window_ar,72.0,1e-06,0.6399900380765433,101.06557001556952,9.999999999958424e-09,,,
1,170,224,267,4,220,224,seasonal_window_naive,72.0,,0.47063819392277995,29.166037273579413,0.04272697109172812,,,
1,170,224,267,4,221,225,cholesky_gaussian_ar,224.0,0.1,0.2792822389056978,10.498532243669736,0.14751104647157237,,,
1,170,224,267,4,221,225,euclidean_gaussian_ar,224.0,0.1,0.26532143590260465,9.924245979546775,0.200259215372963,,,
1,170,224,267,4,221,225,fixed_bwar,224.0,0.1,0.35234054163500705,12.63404614363417,0.13056401060729175,,,
1,170,224,267,4,221,225,local_bwar,48.0,0.1,0.32471084139380507,11.311210535866664,0.12793870844551317,1.0961141561225875e-10,1.0,0.0
1,170,224,267,4,221,225,log_euclidean_gaussian_ar,224.0,0.1,0.30447127408520386,11.099719579449529,0.10689134961792895,,,
1,170,224,267,4,221,225,persistence,,,0.8557602978657642,63.241002921197406,0.034911774369126194,,,
1,170,224,267,4,221,225,raw_var_window_ar,72.0,1e-06,0.4715086809282721,88.94439019279294,9.999999999888698e-09,,,
1,170,224,267,4,221,225,seasonal_window_naive,72.0,,0.8557602978657642,63.24104564251897,0.03490178436912506,,,
1,170,224,267,4,222,226,cholesky_gaussian_ar,224.0,0.1,0.23880362509457176,8.076473742062758,0.13182214708334125,,,
1,170,224,267,4,222,226,euclidean_gaussian_ar,224.0,0.1,0.2076969621359432,8.26704351459723,0.2021092419803342,,,
1,170,224,267,4,222,226,fixed_bwar,224.0,0.1,0.3161791666258587,10.032516449929705,0.1263602391261735,,,
1,170,224,267,4,222,226,local_bwar,48.0,0.1,0.3573563713746712,11.656964385864807,0.12492134249230516,1.0702956240852152e-10,1.0,0.0
1,170,224,267,4,222,226,log_euclidean_gaussian_ar,224.0,0.1,0.2600084271993063,8.278154325379626,0.10138810624916628,,,
1,170,224,267,4,222,226,persistence,,,0.7471746334905027,51.02129194931403,0.03328484022159631,,,
1,170,224,267,4,222,226,raw_var_window_ar,72.0,1e-06,0.3693287648513804,73.013635260347,9.999999999904118e-09,,,
1,170,224,267,4,222,226,seasonal_window_naive,72.0,,0.7471746334905027,51.02132874651796,0.03327485022159807,,,
1,170,224,267,4,223,227,cholesky_gaussian_ar,224.0,0.1,0.21285523980748763,7.175625777011635,0.11630543136603802,,,
1,170,224,267,4,223,227,euclidean_gaussian_ar,224.0,0.1,0.13425980240759278,7.666547231735561,0.2016120833548812,,,
1,170,224,267,4,223,227,fixed_bwar,224.0,0.1,0.282913018338241,9.922439893245972,0.1150937338081074,,,
1,170,224,267,4,223,227,local_bwar,48.0,0.1,0.4592184266514447,18.26525480466565,0.11686385606475977,1.0344362860095621e-10,1.0,0.0
1,170,224,267,4,223,227,log_euclidean_gaussian_ar,224.0,0.1,0.2299097152509252,6.2543508773790695,0.09064925102518363,,,
1,170,224,267,4,223,227,persistence,,,0.5002959918898912,28.5185089494824,0.057994038866868866,,,
1,170,224,267,4,223,227,raw_var_window_ar,72.0,1e-06,0.24930627487938484,49.924757339240465,9.999999999652331e-09,,,
1,170,224,267,4,223,227,seasonal_window_naive,72.0,,0.5002959918898912,28.518508373134456,0.05798404886686812,,,
1,170,224,267,4,224,228,cholesky_gaussian_ar,224.0,0.1,0.1870761299415881,8.909901977840086,0.1275209664122284,,,
1,170,224,267,4,224,228,euclidean_gaussian_ar,224.0,0.1,0.2203136810242647,14.55122610165378,0.010701279942738779,,,
1,170,224,267,4,224,228,fixed_bwar,224.0,0.1,0.20645528008050104,10.039357591950557,0.11045337680530921,,,
1,170,224,267,4,224,228,local_bwar,48.0,0.1,0.3162018806566247,15.387545371117831,0.12004656950091167,1.0313769375047309e-10,1.0,0.0
1,170,224,267,4,224,228,log_euclidean_gaussian_ar,224.0,0.1,0.1693158146165857,7.039866113753044,0.07973667939805129,,,
1,170,224,267,4,224,228,persistence,,,0.5135741477647762,32.76766439450886,0.055045118406649086,,,
1,170,224,267,4,224,228,raw_var_window_ar,72.0,1e-06,0.4671378786447713,58.34886912956731,9.999999999151693e-09,,,
1,170,224,267,4,224,228,seasonal_window_naive,72.0,,0.5135741477647762,32.76769233896366,0.05503512840664946,,,
1,170,224,267,4,225,229,cholesky_gaussian_ar,224.0,0.1,0.15491849607125363,6.234303486733294,0.12137698966544781,,,
1,170,224,267,4,225,229,euclidean_gaussian_ar,224.0,0.1,0.18759924172649867,9.924220781529929,9.999998806929115e-09,,,
1,170,224,267,4,225,229,fixed_bwar,224.0,0.1,0.16522051468994695,6.511997144008699,0.1039133960076983,,,
1,170,224,267,4,225,229,local_bwar,48.0,0.1,0.3441186875301917,13.815886308810327,0.12510388799231428,1.0286809378378291e-10,1.0,0.0
1,170,224,267,4,225,229,log_euclidean_gaussian_ar,224.0,0.1,0.14406209932795272,5.686440559246207,0.07656861801945114,,,
1,170,224,267,4,225,229,persistence,,,0.44269490112271104,25.166146442974703,0.033982016676451135,,,
1,170,224,267,4,225,229,raw_var_window_ar,72.0,1e-06,0.42566060715691995,60.28937456463274,9.999999999811231e-09,,,
1,170,224,267,4,225,229,seasonal_window_naive,72.0,,0.4426949011227109,25.166205022517353,0.03397202667645187,,,
1,170,224,267,4,226,230,cholesky_gaussian_ar,224.0,0.1,0.1314330385701565,6.105635282568541,0.12713068849831002,,,
1,170,224,267,4,226,230,euclidean_gaussian_ar,224.0,0.1,0.18592421464101966,8.275619869061472,1.0000000018594575e-08,,,
1,170,224,267,4,226,230,fixed_bwar,224.0,0.1,0.13650602710155305,5.557841886655236,0.10222791363729673,,,
1,170,224,267,4,226,230,local_bwar,48.0,0.1,0.3063820256398712,11.208728278220745,0.13527632750776342,1.064090545511832e-10,1.0,0.0
1,170,224,267,4,226,230,log_euclidean_gaussian_ar,224.0,0.1,0.13306481603843595,6.747553518420256,0.08071601744088593,,,
1,170,224,267,4,226,230,persistence,,,0.24379320497483956,12.980836821945271,0.0480599362194913,,,
1,170,224,267,4,226,230,raw_var_window_ar,72.0,1e-06,0.39652370237869516,68.80897682518892,9.999999999829867e-09,,,
1,170,224,267,4,226,230,seasonal_window_naive,72.0,,0.2437932049748396,12.980883764845077,0.04804994621949229,,,
1,170,224,267,4,227,231,cholesky_gaussian_ar,224.0,0.1,0.2542266008075425,10.04162495539886,0.12045952848571179,,,
1,170,224,267,4,227,231,euclidean_gaussian_ar,224.0,0.1,0.42631100188271964,13.525612137688022,0.1889878271480886,,,
1,170,224,267,4,227,231,fixed_bwar,224.0,0.1,0.2727707629169795,9.484065854949948,0.09933126079581754,,,
1,170,224,267,4,227,231,local_bwar,48.0,0.1,0.3546381786328316,14.949633617759215,0.1349862096859348,1.0631821645568128e-10,1.0,0.0
1,170,224,267,4,227,231,log_euclidean_gaussian_ar,224.0,0.1,0.2289556090790925,9.894941891403382,0.08851402897530462,,,
1,170,224,267,4,227,231,persistence,,,0.3011296392988477,15.47138630783424,0.040532793409307225,,,
1,170,224,267,4,227,231,raw_var_window_ar,72.0,1e-06,0.43591059850478864,73.76378760927324,9.999999999960982e-09,,,
1,170,224,267,4,227,231,seasonal_window_naive,72.0,,0.3011296392988477,15.471476944577223,0.040522803409307806,,,
