setting,seed,n,d,phi,dispersion,window_length,fit_end,validation_end,method,ridge,validation_w2_mean,w2_mean,w2_ratio_mean,n_test_origins,min_pred_eig,mean_shift_strength,covariance_shift_strength,coordinate_dimension,reference_condition
No shift,8,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.1911042737654695,0.184956388698421,0.9941885400276275,91,0.1706885853089137,0.35,0.8,20,6.0
No shift,8,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.18829681490829245,0.17862222395742847,0.960140762384164,91,0.19358121551907295,0.35,0.8,20,6.0
No shift,8,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.18963422074012704,0.17895297751620312,0.9619186485119219,91,0.18955656477182298,0.35,0.8,20,6.0
No shift,9,260,5,0.7,0.16,36,117,169,persistence,,,0.17952059019522676,1.0,91,0.06383321212091216,0.35,0.8,20,6.0
No shift,9,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.20145195001791058,0.17024061582358796,0.9483069080736258,91,0.2483426233165795,0.35,0.8,20,6.0
No shift,9,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.20190423737784519,0.17294391732758588,0.963365356249727,91,0.17697781460236173,0.35,0.8,20,6.0
No shift,9,260,5,0.7,0.16,36,117,169,log_euclidean,0.0001,0.19768838440477823,0.16935883461550894,0.9433950413784457,91,0.17438934066566097,0.35,0.8,20,6.0
No shift,9,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.19706422091970088,0.1666334295249485,0.9282134675679062,91,0.1952253447616362,0.35,0.8,20,6.0
No shift,9,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1967242974703785,0.16710249322820142,0.9308263361126388,91,0.19466957574772903,0.35,0.8,20,6.0
No shift,10,260,5,0.7,0.16,36,117,169,persistence,,,0.207569434295573,1.0,91,0.13408633645158657,0.35,0.8,20,6.0
No shift,10,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.18212396213409682,0.19251737903126176,0.9274842400790207,91,0.35021410162425337,0.35,0.8,20,6.0
No shift,10,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.18064554267608615,0.1993740725913152,0.9605174927027654,91,0.26574117853801693,0.35,0.8,20,6.0
No shift,10,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.1785809983441028,0.1930508208339963,0.9300541839849955,91,0.24277675701604162,0.35,0.8,20,6.0
No shift,10,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.17649231912257318,0.1894908846391285,0.9129036039540332,91,0.2836203520180819,0.35,0.8,20,6.0
No shift,10,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1770344379665318,0.18952956949618344,0.9130899746361436,91,0.28433655183237205,0.35,0.8,20,6.0
No shift,11,260,5,0.7,0.16,36,117,169,persistence,,,0.20102447924662345,1.0,91,0.1255095917722276,0.35,0.8,20,6.0
No shift,11,260,5,0.7,0.16,36,117,169,euclidean,0.0001,0.1942302350859748,0.19395140514033024,0.9648148616884826,91,0.2831639452161123,0.35,0.8,20,6.0
No shift,11,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.18728815655589492,0.2016718846383646,1.003220530127313,91,0.266238301922381,0.35,0.8,20,6.0
No shift,11,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.1821537422141737,0.19638962478570304,0.976943830531036,91,0.2577688423777746,0.35,0.8,20,6.0
No shift,11,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.18380882067267643,0.18916164475422645,0.940988109821972,91,0.26269666757733035,0.35,0.8,20,6.0
No shift,11,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.18317984876281462,0.19079160670556852,0.949096385776476,91,0.2654626410561488,0.35,0.8,20,6.0
No shift,12,260,5,0.7,0.16,36,117,169,persistence,,,0.18684444618295157,1.0,91,0.19898050744610848,0.35,0.8,20,6.0
No shift,12,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1649987311912582,0.18827328398268006,1.0076472050891436,91,0.22961781936977982,0.35,0.8,20,6.0
No shift,12,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.1697926220845674,0.18537215138825774,0.9921202110912507,91,0.2817126121796615,0.35,0.8,20,6.0
No shift,12,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.16318586805319416,0.18168495652478384,0.9723861759684538,91,0.29050228608049217,0.35,0.8,20,6.0
No shift,12,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.16111081348070996,0.18138441980272588,0.9707776897212165,91,0.2941570378428017,0.35,0.8,20,6.0
No shift,12,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.16127751931193732,0.18259461185434286,0.9772546927916316,91,0.2926340151930309,0.35,0.8,20,6.0
No shift,13,260,5,0.7,0.16,36,117,169,persistence,,,0.16851798967491474,1.0,91,0.167085013682505,0.35,0.8,20,6.0
No shift,13,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.17995534529601764,0.15615801163914136,0.9266548452208764,91,0.3054692587324356,0.35,0.8,20,6.0
No shift,13,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.17893311365008435,0.1529052325064197,0.9073525788041186,91,0.2429202086223208,0.35,0.8,20,6.0
No shift,13,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.17936916898966343,0.15403106900533522,0.9140333877853278,91,0.2585865925008443,0.35,0.8,20,6.0
No shift,13,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.17392334722337593,0.1525059217444039,0.9049830349780491,91,0.2676359063750085,0.35,0.8,20,6.0
No shift,13,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.17401892253494275,0.15286411329451954,0.9071085739238117,91,0.2670242691840285,0.35,0.8,20,6.0
No shift,14,260,5,0.7,0.16,36,117,169,persistence,,,0.1625066878206338,1.0,91,0.14341813548149013,0.35,0.8,20,6.0
No shift,14,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.15676437286082465,0.14887808984410178,0.9161351562861553,91,0.3116492200349441,0.35,0.8,20,6.0
No shift,14,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16262110043221997,0.15345328967579072,0.9442890734759438,91,0.2552044948379777,0.35,0.8,20,6.0
No shift,14,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15469601844344888,0.14865992628617852,0.9147926665655841,91,0.22755375217183965,0.35,0.8,20,6.0
No shift,14,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.15034428270810826,0.14617307040914626,0.8994895679031025,91,0.26087323502253557,0.35,0.8,20,6.0
No shift,14,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15076270340096612,0.14676115192361672,0.9031083821338101,91,0.2608093670121351,0.35,0.8,20,6.0
No shift,15,260,5,0.7,0.16,36,117,169,persistence,,,0.20377762587501974,1.0,91,0.11527457856142131,0.35,0.8,20,6.0
No shift,15,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.17534160136333427,0.20051954729958177,0.984011598125909,91,0.15908890973255793,0.35,0.8,20,6.0
No shift,15,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.17388892445017315,0.20371786361147007,0.9997067280409562,91,0.16392290148858557,0.35,0.8,20,6.0
No shift,15,260,5,0.7,0.16,36,117,169,log_euclidean,0.0001,0.1715764584017712,0.19989437592761025,0.9809436883429432,91,0.1651002084014157,0.35,0.8,20,6.0
No shift,15,260,5,0.7,0.16,36,117,169,fixed_bwar,0.0001,0.1675271406156127,0.1966533749988916,0.9650390917769472,91,0.18020737525709074,0.35,0.8,20,6.0
No shift,15,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.16814638597477533,0.19673884386428286,0.9654585140026418,91,0.1761067778036334,0.35,0.8,20,6.0
No shift,16,260,5,0.7,0.16,36,117,169,persistence,,,0.189174127223576,1.0,91,0.15252809376049697,0.35,0.8,20,6.0
No shift,16,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.19223142231991586,0.18370354216802343,0.9710817481447284,91,0.23514539470537324,0.35,0.8,20,6.0
No shift,16,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19401516514937323,0.186083306433478,0.9836615036344527,91,0.24426839663109987,0.35,0.8,20,6.0
No shift,16,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.1923564157335434,0.18311794441798657,0.9679861993049826,91,0.2303554594512232,0.35,0.8,20,6.0
No shift,16,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1898029359276678,0.1792969576513433,0.9477879469185586,91,0.24137428815471576,0.35,0.8,20,6.0
No shift,16,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.18950640231954338,0.179724626400123,0.9500486617163821,91,0.24354964097276666,0.35,0.8,20,6.0
No shift,17,260,5,0.7,0.16,36,117,169,persistence,,,0.18705076476222762,1.0,91,0.03989775332460478,0.35,0.8,20,6.0
No shift,17,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.16266750898578367,0.17480754951587107,0.9345460294593305,91,0.17355808495349426,0.35,0.8,20,6.0
No shift,17,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16532437158244997,0.17790306229426478,0.9510950811690555,91,0.07335673753268822,0.35,0.8,20,6.0
No shift,17,260,5,0.7,0.16,36,117,169,log_euclidean,0.0001,0.16198226748421896,0.18040707118110874,0.9644818689217116,91,0.08753990682725721,0.35,0.8,20,6.0
No shift,17,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.15742189609888035,0.1724851443587902,0.922130121082623,91,0.1103240904303967,0.35,0.8,20,6.0
No shift,17,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15854274885736522,0.17380385111826557,0.9291801150302643,91,0.10818704929565688,0.35,0.8,20,6.0
No shift,18,260,5,0.7,0.16,36,117,169,persistence,,,0.21733379850359896,1.0,91,0.13427103624191472,0.35,0.8,20,6.0
No shift,18,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.19119550300116264,0.20120047037220185,0.9257670539857151,91,0.23571999813210665,0.35,0.8,20,6.0
No shift,18,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.1916608695972582,0.20422068525679504,0.9396637184961971,91,0.22975773724279738,0.35,0.8,20,6.0
No shift,18,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.1934468929632637,0.20078759798800974,0.9238673384926127,91,0.23334208262043055,0.35,0.8,20,6.0
No shift,18,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.18954935655010927,0.1965325199719448,0.9042888005690946,91,0.23710966817660836,0.35,0.8,20,6.0
No shift,18,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.19052296951080272,0.19689985574277968,0.9059789922160639,91,0.23794882062046813,0.35,0.8,20,6.0
No shift,19,260,5,0.7,0.16,36,117,169,persistence,,,0.1824494685123587,1.0,91,0.12678697287958504,0.35,0.8,20,6.0
No shift,19,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.13954394133527073,0.1672302881771407,0.9165841344493306,91,0.2636005166916901,0.35,0.8,20,6.0
No shift,19,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.13552837686868557,0.16772793945047024,0.9193117459758934,91,0.23264332346326233,0.35,0.8,20,6.0
No shift,19,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.13522935025563992,0.1650945390604187,0.9048781583555866,91,0.2310403990874973,0.35,0.8,20,6.0
