drift_strength,setting,seed,n,d,phi,dispersion,window_length,fit_end,validation_end,method,ridge,validation_w2_mean,w2_mean,w2_ratio_mean,n_test_origins,min_pred_eig,mean_shift_strength,covariance_shift_strength,coordinate_dimension,reference_condition
0.0,Gradual joint shift,18,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19166086959725526,0.20422068525679665,0.9396637184962047,91,0.22975773724279736,0.0,0.0,20,6.0
0.0,Gradual joint shift,18,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.19119550300116453,0.20120047037220143,0.9257670539857134,91,0.23571999813210737,0.0,0.0,20,6.0
0.0,Gradual joint shift,18,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1895493565501082,0.19653251997194598,0.9042888005691002,91,0.23710966817661183,0.0,0.0,20,6.0
0.0,Gradual joint shift,18,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.19052296951080264,0.19689985574278066,0.9059789922160685,91,0.2379488206204679,0.0,0.0,20,6.0
0.0,Gradual joint shift,18,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.19344689296326517,0.20078759798801124,0.9238673384926197,91,0.233342082620431,0.0,0.0,20,6.0
0.0,Gradual joint shift,18,260,5,0.7,0.16,36,117,169,persistence,,,0.21733379850359894,1.0,91,0.13427103624191597,0.0,0.0,20,6.0
0.0,Gradual joint shift,19,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.13552837686868488,0.1677279394504718,0.9193117459759037,91,0.23264332346326289,0.0,0.0,20,6.0
0.0,Gradual joint shift,19,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1395439413352695,0.16723028817714292,0.9165841344493446,91,0.2636005166916911,0.0,0.0,20,6.0
0.0,Gradual joint shift,19,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.13384801822703743,0.16212910879132322,0.8886247250445748,91,0.245618017085926,0.0,0.0,20,6.0
0.0,Gradual joint shift,19,260,5,0.7,0.16,36,117,169,local_bwar,0.0001,0.13421184552098347,0.16327547135963705,0.8949079034920701,91,0.2481684949660564,0.0,0.0,20,6.0
0.0,Gradual joint shift,19,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.13522935025564153,0.16509453906041677,0.9048781583555777,91,0.2310403990874979,0.0,0.0,20,6.0
0.0,Gradual joint shift,19,260,5,0.7,0.16,36,117,169,persistence,,,0.18244946851235833,1.0,91,0.12678697287958549,0.0,0.0,20,6.0
