regime,target_delta,horizon,method,n_replications,percent_change_mean,percent_change_se,test_w2_mean,test_w2_se,loss_ratio_mean,loss_ratio_se,repair_rate,start_reference_distance,end_reference_distance,percent_change_ci_low,percent_change_ci_high,test_w2_ci_low,test_w2_ci_high,loss_ratio_ci_low,loss_ratio_ci_high
stable,0.6,6,local,100,0.20006685191699758,0.029937292985862098,0.2668401044845021,0.0032118274240578843,0.6766934768826635,0.005774641637676478,0.0,0.599999999999999,0.599999999999999,0.14138975766470788,0.2587439461692873,0.26054492273334867,0.2731352862356556,0.6653751792728175,0.6880117744925094
continuing,0.6,1,persistence,100,-17.988050267416323,0.38915148227252866,0.1410292802878588,0.0011898485931180229,1.0,0.0,0.0,0.599999999999999,0.9930227705319349,-18.750787172670478,-17.22531336216217,0.13869717704534748,0.14336138353037012,1.0,1.0
continuing,0.6,1,euclidean,100,0.07676581103785284,0.2870270234337041,0.17231276434964593,0.0015659766759526389,1.2219643066324821,0.004547545313891507,0.02,0.599999999999999,0.9930227705319349,-0.48580715489220727,0.639338776967913,0.16924345006477876,0.1753820786345131,1.2130511178172547,1.2308774954477095
continuing,0.6,1,cholesky,100,-1.0507410665946384,0.32324468152908853,0.1703661476984274,0.0015704155070607457,1.2084766408237617,0.005533911999802225,0.0,0.599999999999999,0.9930227705319349,-1.6843006423916518,-0.4171814907976249,0.16728813330458833,0.17344416209226646,1.1976301733041494,1.219323108343374
continuing,0.6,1,log_euclidean,100,-1.0537810492694586,0.22446646995565717,0.17041117346803175,0.001565185876777965,1.2086247190667998,0.0051923068923007635,0.0,0.599999999999999,0.9930227705319349,-1.4937353303825467,-0.6138267681563705,0.16734340914954693,0.17347893778651657,1.1984477975578902,1.2188016405757094
continuing,0.6,1,fixed,100,0.0,0.0,0.17210038266784497,0.0013853711379582787,1.2220107927428883,0.005715469225400114,0.0,0.599999999999999,0.9930227705319349,0.0,0.0,0.16938505523744674,0.1748157100982432,1.210808473061104,1.2332131124246726
continuing,0.6,1,local,100,1.8216240446095164,0.1359954953800701,0.17532688811698022,0.0015400723493352248,1.2443729711088036,0.00627444550446424,0.0,0.599999999999999,0.9930227705319349,1.555072873664579,2.088175215554454,0.17230834631228317,0.17834542992167726,1.2320750579200537,1.2566708842975536
continuing,0.6,3,persistence,100,17.35267040047288,0.8028777491452466,0.3092353635792911,0.002835609595887758,1.0,0.0,0.0,0.599999999999999,0.9930227705319349,15.779030012148198,18.926310788797565,0.3036775687713511,0.3147931583872311,1.0,1.0
continuing,0.6,3,euclidean,100,2.8754551542813305,0.3328045359464465,0.27212238784096776,0.0030318748876535977,0.8800077434128356,0.005619559626314696,0.03,0.599999999999999,0.9930227705319349,2.2231582638262952,3.5277520447363657,0.26617991306116673,0.2780648626207688,0.8689934065452588,0.8910220802804124
continuing,0.6,3,cholesky,100,3.0436970310242475,0.3545019705968538,0.2726650226963442,0.00314561746442311,0.8814326878665034,0.005676250936802048,0.0,0.599999999999999,0.9930227705319349,2.348873168654414,3.738520893394081,0.2664996124660749,0.27883043292661347,0.8703072360303714,0.8925581397026354
